t_0: 0.01, q_0: 0.3, instance: 0, makespan: 23.0 += 0.0, time: 0.1 += 0.0
t_0: 0.01, q_0: 0.3, instance: 1, makespan: 37.0 += 1.0, time: 0.6 += 0.1
t_0: 0.01, q_0: 0.3, instance: 2, makespan: 51.3 += 2.1, time: 1.5 += 0.4
t_0: 0.01, q_0: 0.3, instance: 3, makespan: 64.3 += 2.5, time: 4.5 += 0.3
t_0: 0.01, q_0: 0.3, instance: 4, makespan: 79.3 += 0.6, time: 6.5 += 0.7
t_0: 0.01, q_0: 0.3, instance: 5, makespan: 93.3 += 1.5, time: 14.4 += 5.2
t_0: 0.01, q_0: 0.3, instance: 6, makespan: 107.7 += 3.8, time: 24.1 += 6.2
t_0: 0.01, q_0: 0.3, instance: 7, makespan: 122.0 += 2.0, time: 33.0 += 9.6
t_0: 0.01, q_0: 0.3, instance: 8, makespan: 133.0 += 5.3, time: 57.3 += 12.6
t_0: 0.01, q_0: 0.3, instance: 9, makespan: 152.7 += 3.8, time: 62.5 += 36.8
t_0: 0.01, q_0: 0.3, instance: 10, makespan: 165.3 += 4.5, time: 124.1 += 35.5
t_0: 0.01, q_0: 0.3, instance: 11, makespan: 181.7 += 0.6, time: 140.0 += 46.9
t_0: 0.01, q_0: 0.3, instance: 12, makespan: 196.3 += 6.4, time: 181.7 += 140.6
t_0: 0.05, q_0: 0.3, instance: 0, makespan: 24.0 += 1.0, time: 0.1 += 0.0
t_0: 0.05, q_0: 0.3, instance: 1, makespan: 37.0 += 1.0, time: 0.5 += 0.0
t_0: 0.05, q_0: 0.3, instance: 2, makespan: 50.0 += 2.0, time: 2.9 += 1.2
t_0: 0.05, q_0: 0.3, instance: 3, makespan: 65.0 += 2.6, time: 4.3 += 0.9
t_0: 0.05, q_0: 0.3, instance: 4, makespan: 79.3 += 2.1, time: 7.4 += 1.7
t_0: 0.05, q_0: 0.3, instance: 5, makespan: 92.0 += 1.0, time: 10.1 += 1.4
t_0: 0.05, q_0: 0.3, instance: 6, makespan: 108.3 += 1.2, time: 25.7 += 6.0
t_0: 0.05, q_0: 0.3, instance: 7, makespan: 122.3 += 4.0, time: 25.0 += 3.3
t_0: 0.05, q_0: 0.3, instance: 8, makespan: 139.7 += 1.5, time: 51.4 += 16.7
t_0: 0.05, q_0: 0.3, instance: 9, makespan: 151.3 += 4.5, time: 62.8 += 21.5
t_0: 0.05, q_0: 0.3, instance: 10, makespan: 167.7 += 2.1, time: 77.6 += 15.0
t_0: 0.05, q_0: 0.3, instance: 11, makespan: 180.0 += 2.0, time: 112.4 += 20.8
t_0: 0.05, q_0: 0.3, instance: 12, makespan: 194.0 += 2.0, time: 145.2 += 28.0
t_0: 0.1, q_0: 0.3, instance: 0, makespan: 23.0 += 0.0, time: 0.1 += 0.0
t_0: 0.1, q_0: 0.3, instance: 1, makespan: 36.7 += 0.6, time: 0.5 += 0.1
t_0: 0.1, q_0: 0.3, instance: 2, makespan: 50.0 += 1.7, time: 2.6 += 0.9
t_0: 0.1, q_0: 0.3, instance: 3, makespan: 63.0 += 2.0, time: 3.6 += 0.7
t_0: 0.1, q_0: 0.3, instance: 4, makespan: 79.0 += 1.7, time: 7.8 += 2.2
t_0: 0.1, q_0: 0.3, instance: 5, makespan: 95.3 += 2.9, time: 14.1 += 0.6
t_0: 0.1, q_0: 0.3, instance: 6, makespan: 108.0 += 1.0, time: 21.3 += 7.6
t_0: 0.1, q_0: 0.3, instance: 7, makespan: 121.3 += 2.5, time: 23.7 += 3.0
t_0: 0.1, q_0: 0.3, instance: 8, makespan: 135.3 += 2.5, time: 50.9 += 10.6
t_0: 0.1, q_0: 0.3, instance: 9, makespan: 154.3 += 0.6, time: 47.0 += 5.7
t_0: 0.1, q_0: 0.3, instance: 10, makespan: 165.3 += 1.5, time: 91.3 += 8.0
t_0: 0.1, q_0: 0.3, instance: 11, makespan: 181.3 += 1.5, time: 121.8 += 57.7
t_0: 0.1, q_0: 0.3, instance: 12, makespan: 193.7 += 6.4, time: 129.0 += 36.6
t_0: 0.5, q_0: 0.3, instance: 0, makespan: 23.7 += 1.2, time: 0.1 += 0.0
t_0: 0.5, q_0: 0.3, instance: 1, makespan: 36.7 += 0.6, time: 0.5 += 0.1
t_0: 0.5, q_0: 0.3, instance: 2, makespan: 50.3 += 0.6, time: 2.2 += 0.3
t_0: 0.5, q_0: 0.3, instance: 3, makespan: 65.3 += 1.2, time: 5.0 += 0.6
t_0: 0.5, q_0: 0.3, instance: 4, makespan: 78.3 += 1.2, time: 9.5 += 3.5
t_0: 0.5, q_0: 0.3, instance: 5, makespan: 95.3 += 1.5, time: 15.5 += 7.1
